milliseconds,orientationx,orientationy,orientationz,angVelocityx,angVelocityy,angVelocityz,linAccelerationx,linAccelerationy,linAccelerationz,magneticx,magneticy,magneticz,accelerationx,accelerationy,accelerationz,gravityx,gravityy,gravityz,altitude
5514378,314.12,-60.06,6.12,0.19,-0.07,0.03,0.13,0.03,0.31,43.56,16.69,-4.19,-8.36,-0.47,5.18,-8.49,-0.51,4.87,50.44
5514409,314.38,-60.00,5.81,0.04,0.03,0.00,0.19,0.16,0.17,42.75,17.69,-6.88,-8.30,-0.33,5.04,-8.49,-0.49,4.87,50.35
5514439,314.38,-60.12,5.88,-0.08,0.12,-0.02,0.10,-0.14,0.16,43.19,16.69,-5.50,-8.40,-0.64,5.01,-8.50,-0.50,4.84,50.37
5514470,314.31,-60.31,6.06,0.03,0.16,0.02,0.12,-0.33,0.00,43.19,16.69,-5.50,-8.40,-0.84,4.80,-8.53,-0.50,4.81,50.40
5514499,314.31,-60.56,5.81,0.17,0.15,0.10,0.25,-0.24,-0.12,44.25,16.69,-6.38,-8.29,-0.71,4.65,-8.55,-0.47,4.77,50.41
5514529,314.31,-60.88,5.25,0.26,0.18,0.15,0.05,-0.06,0.04,44.25,16.69,-6.38,-8.52,-0.47,4.77,-8.57,-0.41,4.73,50.46
5514560,314.12,-61.19,4.56,0.05,0.18,-0.01,-0.44,0.67,0.08,44.25,16.69,-4.19,-9.04,0.30,4.77,-8.60,-0.37,4.69,50.49
5514589,314.00,-61.62,5.56,-0.58,0.23,-0.14,-0.23,0.45,0.06,44.25,16.69,-5.50,-8.86,0.00,4.70,-8.62,-0.45,4.63,50.59
5514620,313.44,-61.94,7.56,-0.88,0.25,-0.19,-0.19,0.03,0.01,44.25,16.69,-5.50,-8.85,-0.57,4.57,-8.65,-0.60,4.56,50.57
5514648,312.94,-62.19,9.06,-0.76,0.22,-0.25,-0.34,-0.16,0.00,43.56,15.88,-3.75,-9.02,-0.94,4.48,-8.68,-0.77,4.48,50.60
5514679,312.75,-62.44,11.19,-0.59,0.15,-0.37,-0.26,-0.08,0.15,43.56,15.88,-3.75,-8.96,-1.02,4.58,-8.69,-0.93,4.42,50.55
5514710,312.81,-62.50,13.56,-0.76,0.15,-0.45,0.00,0.09,0.16,42.75,17.38,-3.25,-8.69,-1.04,4.53,-8.70,-1.13,4.37,50.53
5514739,312.75,-62.62,17.19,-0.65,0.17,-0.38,0.10,-0.58,0.09,43.19,18.06,-2.38,-8.60,-1.91,4.39,-8.71,-1.33,4.30,50.54
5514767,312.88,-62.69,19.06,-0.37,0.16,-0.33,-0.44,-0.38,0.25,43.19,18.06,-2.38,-9.15,-1.85,4.49,-8.71,-1.47,4.24,50.46
5514796,312.94,-62.75,20.44,-0.53,0.18,-0.38,-0.44,0.14,0.34,43.19,18.50,-1.56,-9.11,-1.36,4.55,-8.72,-1.63,4.17,50.45
5514822,312.69,-62.81,23.69,-1.25,0.25,-0.45,-0.08,0.10,0.36,43.19,18.50,-1.56,-8.81,-1.78,4.40,-8.73,-1.89,4.04,50.43
5514849,311.69,-62.94,27.94,-1.61,0.30,-0.40,0.00,-0.19,0.32,42.75,19.19,0.19,-8.74,-2.28,4.26,-8.73,-2.08,3.93,50.52
5514879,311.12,-63.06,30.56,-1.23,0.23,-0.31,0.23,-0.59,0.36,42.75,19.19,0.19,-8.50,-2.92,4.14,-8.74,-2.33,3.77,50.50
5514909,310.56,-63.06,33.31,-0.45,0.13,-0.26,0.29,-0.49,0.09,42.06,20.00,0.69,-8.44,-2.97,3.78,-8.74,-2.48,3.68,50.50
5514939,310.81,-63.00,34.56,0.08,0.09,-0.22,0.01,0.19,-0.02,42.06,20.69,2.38,-8.71,-2.34,3.63,-8.73,-2.54,3.65,50.46
5514970,311.25,-62.94,35.06,-0.04,0.16,-0.17,-0.22,0.51,0.27,42.06,20.69,2.38,-8.96,-2.06,3.91,-8.73,-2.57,3.63,50.45
5515001,311.19,-63.00,37.12,-0.58,0.26,-0.25,-0.14,-0.01,-0.02,41.69,21.06,3.69,-8.89,-2.69,3.51,-8.74,-2.68,3.54,50.44
5515030,311.00,-63.12,39.31,-0.60,0.25,-0.23,0.03,-0.45,-0.33,41.69,21.06,3.69,-8.71,-3.26,3.09,-8.75,-2.80,3.42,50.41
5515056,310.94,-63.31,40.75,-0.24,0.25,-0.09,0.31,-0.41,-0.07,41.25,21.88,3.69,-8.44,-3.28,3.26,-8.76,-2.87,3.33,50.29
5515086,310.94,-63.44,41.31,-0.12,0.21,-0.03,0.10,-0.34,-0.14,41.25,21.88,3.69,-8.65,-3.11,3.21,-8.78,-2.89,3.26,50.33
5515112,310.94,-63.75,41.81,-0.02,0.20,0.07,-0.09,-0.10,0.03,41.25,22.19,5.06,-8.89,-2.99,3.25,-8.80,-2.88,3.21,50.34
5515141,310.69,-64.00,42.19,-0.06,0.19,0.03,0.35,1.29,0.16,40.88,20.69,4.56,-8.45,-1.58,3.34,-8.81,-2.88,3.17,50.34
5515167,311.31,-64.00,42.94,0.27,0.04,-0.27,-0.19,0.22,-1.18,40.88,20.69,4.56,-9.00,-2.70,1.95,-8.81,-2.93,3.14,50.35
5515197,311.62,-63.75,42.88,0.13,-0.11,-0.14,0.15,0.32,-0.46,40.50,21.88,6.00,-8.69,-2.83,3.23,-8.79,-2.95,3.17,50.40
5515223,311.12,-63.69,43.44,-0.63,-0.06,0.04,-0.07,-0.77,0.27,40.50,21.88,6.00,-8.86,-3.77,3.41,-8.79,-3.00,3.14,50.36
5515254,310.31,-63.62,44.12,-0.58,-0.07,0.05,-0.53,-1.14,0.37,40.88,22.56,4.56,-9.32,-4.17,3.49,-8.78,-3.03,3.11,50.40
5515283,310.25,-63.56,43.94,0.25,-0.11,-0.01,-0.31,-0.38,0.32,40.88,22.56,4.56,-9.10,-3.41,3.46,-8.78,-3.02,3.14,50.31
5515311,310.50,-63.44,43.06,0.29,-0.10,0.06,-0.19,1.19,-0.42,41.25,22.19,4.56,-9.42,-1.98,1.96,-8.76,-2.98,3.23,50.43
